# OSU MPI Latency Test v5.7
# Size          Latency (us)
52832                 530.67
52864                 531.01
52896                 531.87
52928                 532.95
52960                 530.83
52992                 531.41
53024                 531.65
53056                 532.01
53088                 532.84
53120                 532.38
53152                 532.63
53184                 534.98
53216                 535.40
53248                 533.01
53280                 533.66
53312                 536.10
53344                 541.42
53376                 540.71
53408                 544.19
53440                 548.65
53472                 549.79
53504                 548.92
53536                 551.67
53568                 527.79
53600                 527.75
53632                 532.24
